product_ref,filename_or_slot,shot_type,verdict,reason,target_set_position,sector,assigned_tier
Linked Waiting Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No straight-on single-bank hero,1,Hospital,standard
Linked Waiting Chair,slot:dimension_diagram,dimension_diagram,MISSING,No seat pitch/bank-length dimensions,2,Hospital,standard
Linked Waiting Chair,slot:full_room_scene,full_room_scene,MISSING,No waiting-area context shot,3,Hospital,standard
Linked Waiting Chair,linked waiting chair.png,three_quarter_angle,KEEP,Photoreal beam-link three-seat; frame and shared rail read clearly,4,Hospital,standard
Linked Waiting Chair,slot:texture_macro,texture_macro,MISSING,No upholstery weave close-up,5,Hospital,standard
Lockable Cabinet,Lockable Cabinet.png,white_seamless_hero,KEEP,"Clean doors-open hero; locks and shelves visible, photoreal",1,Hospital,standard
Lockable Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,No height/width/depth dimensions for spec,2,Hospital,standard
Lockable Cabinet,slot:full_room_scene,full_room_scene,MISSING,No bedside-in-room context,3,Hospital,standard
Lockable Cabinet,slot:three_quarter_angle,three_quarter_angle,MISSING,No closed-door angled form view,4,Hospital,standard
Lockable Cabinet,slot:texture_macro,texture_macro,MISSING,No easy-clean surface close-up,5,Hospital,standard
Manual Recliner,slot:white_seamless_hero,white_seamless_hero,MISSING,No upright front hero on white,1,Hospital,flagship
Manual Recliner,slot:dimension_diagram,dimension_diagram,MISSING,No reclined/upright footprint dimensions,2,Hospital,flagship
Manual Recliner,slot:material_swatch_row,material_swatch_row,MISSING,No wipe-clean upholstery options,3,Hospital,flagship
Manual Recliner,slot:wide_establishing,wide_establishing,MISSING,No patient-room establishing shot,4,Hospital,flagship
Manual Recliner,slot:full_room_scene,full_room_scene,MISSING,No in-room styled scene,5,Hospital,flagship
Manual Recliner,slot:three_quarter_angle,three_quarter_angle,MISSING,No upright three-quarter form view,6,Hospital,flagship
Manual Recliner,slot:side_profile,side_profile,MISSING,No pure side profile,7,Hospital,flagship
Manual Recliner,slot:hardware_detail,hardware_detail,MISSING,No close-up of release lever mechanism,8,Hospital,flagship
Manual Recliner,manual recliner.png,functional_transformation,KEEP,Photoreal reclined pose shows lever and footrest extension clearly,9,Hospital,flagship
Manual Recliner,slot:footprint_plan,footprint_plan,MISSING,No top-down clearance footprint,10,Hospital,flagship
Medical Recliner,slot:white_seamless_hero,white_seamless_hero,MISSING,No upright front hero on white,1,Hospital,flagship
Medical Recliner,slot:dimension_diagram,dimension_diagram,MISSING,No dimensions across positions,2,Hospital,flagship
Medical Recliner,slot:material_swatch_row,material_swatch_row,MISSING,No wipe-clean vinyl color options,3,Hospital,flagship
Medical Recliner,slot:wide_establishing,wide_establishing,MISSING,No clinical-room establishing shot,4,Hospital,flagship
Medical Recliner,slot:full_room_scene,full_room_scene,MISSING,No in-room context scene,5,Hospital,flagship
Medical Recliner,slot:three_quarter_angle,three_quarter_angle,MISSING,No upright three-quarter form view,6,Hospital,flagship
Medical Recliner,slot:side_profile,side_profile,MISSING,No drop-arm side profile view,7,Hospital,flagship
Medical Recliner,slot:hardware_detail,hardware_detail,MISSING,No close-up of control pad/drop-arm,8,Hospital,flagship
Medical Recliner,medical recliner.png,functional_transformation,KEEP,"Reclined with control pad, casters, side pocket; photoreal clinical realism",9,Hospital,flagship
Medical Recliner,slot:footprint_plan,footprint_plan,MISSING,No top-down transfer-clearance plan,10,Hospital,flagship
Metal Table,Metal Table.png,white_seamless_hero,KEEP,"Clean brushed-metal table hero, sharp, photoreal, no defects",1,Hospital,standard
Metal Table,slot:dimension_diagram,dimension_diagram,MISSING,No top/height dimensions for spec,2,Hospital,standard
Metal Table,Metal Table 3.png,single_prop_styling,REDO,Garbled fake magazine-cover text artifacts; wrong credenza product,3,Hospital,standard
Metal Table,Metal Table 4.png,single_prop_styling,REDO,"Garbled in-image text on covers; wrong credenza, prop clutter",3,Hospital,standard
Metal Table,Metal Table 6.png,single_prop_styling,REDO,"Garbled cover text artifacts; wrong product, dreamy prop styling",3,Hospital,standard
Metal Table,slot:full_room_scene,full_room_scene,MISSING,No clean waiting-area context for correct product,3,Hospital,standard
Metal Table,Metal Table 1.png,three_quarter_angle,KEEP,Open-frame metal table three-quarter; slatted shelf reads clearly,4,Hospital,standard
Metal Table,Metal Table 2.png,three_quarter_angle,REDO,Near-duplicate of Table 1 but with extra mid-shelf; redundant variant,4,Hospital,standard
Metal Table,Metal Table 5.png,three_quarter_angle,REDO,"Wrong product: magazine credenza, not the metal side table",4,Hospital,standard
Metal Table,slot:texture_macro,texture_macro,MISSING,No brushed-metal surface close-up,5,Hospital,standard
Plastic Waiting Chair,plastic waiting chair.png,white_seamless_hero,KEEP,Clean front hero on white; molded shell and chrome legs sharp,1,Hospital,standard
Plastic Waiting Chair,slot:dimension_diagram,dimension_diagram,MISSING,No seat height/width dimensions,2,Hospital,standard
Plastic Waiting Chair,slot:full_room_scene,full_room_scene,MISSING,No waiting-area context shot,3,Hospital,standard
Plastic Waiting Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,No angled view of shell and frame,4,Hospital,standard
Plastic Waiting Chair,slot:texture_macro,texture_macro,MISSING,No molded-shell/frame finish close-up,5,Hospital,standard
Rolling Overbed Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No straight hero on seamless white,1,Hospital,long-tail
Rolling Overbed Table,Rolling Overbed Table.png,three_quarter_angle,KEEP,"Photoreal three-quarter; HPL top, tilt lever, locking casters all read",2,Hospital,long-tail
Rolling Overbed Table,slot:dimension_diagram,dimension_diagram,MISSING,No height-range/top dimensions for spec,3,Hospital,long-tail
Single Drawer Cabinet,single drawer cabinet.png,white_seamless_hero,KEEP,"Clean photoreal hero, true wood grain, spec-able on white.",1,Hospital,long-tail
Single Drawer Cabinet,slot:three_quarter_angle,three_quarter_angle,MISSING,No angled view showing drawer depth and side panel.,2,Hospital,long-tail
Single Drawer Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,Buyers need measured drawing for bedside footprint fit.,3,Hospital,long-tail
Straight Desk,Straight Desk.jpg,white_seamless_hero,KEEP,"Sharp photoreal reception desk on white, transaction counter clear.",1,Hospital,standard
Straight Desk,slot:dimension_diagram,dimension_diagram,MISSING,Reception desk needs measured plan for lobby fit-out.,2,Hospital,standard
Straight Desk,slot:full_room_scene,full_room_scene,MISSING,No in-context waiting-area scene to sell scale.,3,Hospital,standard
Straight Desk,slot:three_quarter_angle,three_quarter_angle,MISSING,Need front-staff-side angle showing counter and knee space.,4,Hospital,standard
Straight Desk,slot:texture_macro,texture_macro,MISSING,No close-up of laminate finish for durability spec.,5,Hospital,standard
Upholstered Lounge Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No crisp high-res hero of the lounge chair.,1,Hospital,considered
Upholstered Lounge Chair,slot:dimension_diagram,dimension_diagram,MISSING,Patient-room seating needs measured footprint.,2,Hospital,considered
Upholstered Lounge Chair,slot:material_swatch_row,material_swatch_row,MISSING,Wipe-clean upholstery options must be shown for healthcare.,3,Hospital,considered
Upholstered Lounge Chair,slot:full_room_scene,full_room_scene,MISSING,No in-room patient context to sell comfort role.,4,Hospital,considered
Upholstered Lounge Chair,Gemini_Generated_Image_963a3z963a3z963a.png,three_quarter_angle,REDO,"Low-res, soft, flat CGI lighting; not sharp spec-able render.",5,Hospital,considered
Upholstered Lounge Chair,slot:hardware_detail,hardware_detail,MISSING,No close-up of seam/leg joint for durability proof.,6,Hospital,considered
Upholstered Lounge Chair,slot:functional_transformation,functional_transformation,MISSING,No view of backrest support feature in use.,7,Hospital,considered
Upholstered Waiting Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,Need straight-on hero; current is angled view.,1,Hospital,standard
Upholstered Waiting Chair,slot:dimension_diagram,dimension_diagram,MISSING,Waiting-area seating needs measured footprint for layout.,2,Hospital,standard
Upholstered Waiting Chair,slot:full_room_scene,full_room_scene,MISSING,No waiting-area context shot to sell scale.,3,Hospital,standard
Upholstered Waiting Chair,upholstered waiting chair.png,three_quarter_angle,KEEP,"Sharp photoreal chair on white, clean seams, spec-able.",4,Hospital,standard
Upholstered Waiting Chair,slot:texture_macro,texture_macro,MISSING,No fabric close-up for durability and cleanability.,5,Hospital,standard
Wooden Table,Wooden Table.png,white_seamless_hero,KEEP,"Clean photoreal wood table on white, matches side-table brief.",1,Hospital,long-tail
Wooden Table,Wooden Table 4.png,single_prop_styling,REDO,"Wrong product shape (magazine rack), heavy props, off-brief.",2,Hospital,long-tail
Wooden Table,Wooden Table 2.png,single_prop_styling,REDO,Magazine-rack shape not side table; garbled book text artifacts.,2,Hospital,long-tail
Wooden Table,Wooden Table 3.png,single_prop_styling,REDO,"Wrong shape, warped magazine text, prop-heavy, not spec-able.",2,Hospital,long-tail
Wooden Table,slot:three_quarter_angle,three_quarter_angle,MISSING,No clean angled view of the actual side table.,2,Hospital,long-tail
Wooden Table,slot:dimension_diagram,dimension_diagram,MISSING,Buyers need measured drawing for waiting-area fit.,3,Hospital,long-tail
2-Seater Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean white-seamless hero; only room scenes and CGI.,1,Hotel,standard
2-Seater Table,slot:dimension_diagram,dimension_diagram,MISSING,Two-top dining table needs measured plan for layout density.,2,Hotel,standard
2-Seater Table,2-Seater Table.jpg,full_room_scene,KEEP,"Photoreal styled dining scene, sharp, sells hotel breakfast context.",3,Hotel,standard
2-Seater Table,2-Seater Table - M1.jpg,second_environment,KEEP,"Clean photoreal room scene, walnut top reads well, spec-able.",3,Hotel,standard
2-Seater Table,2-Seater Table 1.jpg,second_environment,REDO,"Dreamy blown-out backlight, hazy luxury-bokeh, not sharp realism.",3,Hotel,standard
2-Seater Table,2-Seater Table M2.jpg,second_environment,KEEP,"Sharp photoreal styled scene, clear table geometry and finish.",3,Hotel,standard
2-Seater Table,2-Seater Table Tapper Center.jpg,second_environment,KEEP,Sharp scene highlighting tapered pedestal base variant.,3,Hotel,standard
2-Seater Table,2-Seater Table SS1.jpg,three_quarter_angle,KEEP,"Clean product-focused angle, chrome legs and top clearly shown.",4,Hotel,standard
2-Seater Table,2-Seater Table - T Leg - HPL-MDF.png,side_profile,REDO,"Flat low-res navy CGI render, off-brand color, not photoreal.",4,Hotel,standard
2-Seater Table,2-Seater Table - HPL - MDF.png,three_quarter_angle,REDO,"Flat CGI navy render, off-brand color, no realism, not spec-able.",4,Hotel,standard
2-Seater Table,slot:texture_macro,texture_macro,MISSING,No close-up of HPL top finish for durability spec.,5,Hotel,standard
4-Seater Table,4-Seater Table - T Leg - HPL-MDF.png,white_seamless_hero,REDO,"Tiny low-res blue CGI render, off-brand, not spec-able",1,Hotel,standard
4-Seater Table,4-Seater Table - HPL - MDF.png,white_seamless_hero,REDO,"Blue CGI panel-leg render, off-brand color, not photoreal",1,Hotel,standard
4-Seater Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean photoreal white-background hero of the table,1,Hotel,standard
4-Seater Table,slot:dimension_diagram,dimension_diagram,MISSING,No measured dimension drawing for buyer spec sheet,2,Hotel,standard
4-Seater Table,4-Seater Table M1.jpg,full_room_scene,KEEP,"Photoreal walnut table, styled dining room, sells the look",3,Hotel,standard
4-Seater Table,4-Seater Table M2.jpg,three_quarter_angle,KEEP,"Sharp oak top, square base, set table, clean realism",4,Hotel,standard
4-Seater Table,4-Seater Table SS1.jpg,three_quarter_angle,KEEP,"Clean three-quarter hero, sharp grain, spec-able geometry",4,Hotel,standard
4-Seater Table,slot:texture_macro,texture_macro,MISSING,No close-up of top finish or grain texture,5,Hotel,standard
6-Seater Table,6-seater table.png,white_seamless_hero,REDO,"Soft low-res set render, muddy, not sharp spec hero",1,Hotel,standard
6-Seater Table,6-Seater Table - T Leg - HPL-MDF.png,white_seamless_hero,REDO,"Tiny low-res blue CGI render, off-brand, not spec-able",1,Hotel,standard
6-Seater Table,6-Seater Table - HPL - MDF.png,white_seamless_hero,REDO,"Blue CGI panel-leg render, off-brand color, not photoreal",1,Hotel,standard
6-Seater Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No sharp photoreal white-background hero of the table,1,Hotel,standard
6-Seater Table,slot:dimension_diagram,dimension_diagram,MISSING,No measured dimension drawing for buyer spec sheet,2,Hotel,standard
6-Seater Table,6-Seater Table - M3S.jpg,full_room_scene,KEEP,"Sharp X-base walnut in styled room, sells the piece",3,Hotel,standard
6-Seater Table,6-Seater Table M2.jpg,full_room_scene,KEEP,"Sharp oak table, sunny room, clean realism, no people",3,Hotel,standard
6-Seater Table,6-Seater Table SS1.jpg,full_room_scene,KEEP,"Wide establishing scene, set table, sharp, sells context",3,Hotel,standard
6-Seater Table,6-Seater Table Wood.jpg,full_room_scene,KEEP,"Photoreal wood X-trestle in classic room, on-brand",3,Hotel,standard
6-Seater Table,6-Seater Table Wood2.jpg,full_room_scene,KEEP,"Sharp X-trestle, dark room, patterned rug, photoreal",3,Hotel,standard
6-Seater Table,6-Seater Table M1.jpg,three_quarter_angle,KEEP,"Sharp three-quarter, metal base, photoreal, spec-able",4,Hotel,standard
6-Seater Table,slot:texture_macro,texture_macro,MISSING,No close-up of top finish or grain texture,5,Hotel,standard
AC-New Collection,DMD Strukt.jpg,white_seamless_hero,KEEP,"Clean tufted-back trio on white, sharp, sells the silhouette",1,Hotel,considered
AC-New Collection,Warm terracott Upholstered Accent Chair 360 return 1.jpg,dimension_diagram,REDO,"Garbled gibberish dimension text, unreadable measurements, fails spec use",2,Hotel,considered
AC-New Collection,DMD Formo.jpg,color_story_flatlay,KEEP,"Four-color lineup, photoreal, clean white, reads as finish range",3,Hotel,considered
AC-New Collection,DMD Linea.jpg,color_finish_grid,KEEP,"Sharp multi-finish row, shows upholstery and leg options clearly",3,Hotel,considered
AC-New Collection,DMD Modulo.jpg,color_finish_grid,KEEP,"Photoreal four-finish range, metal-leg variant, buyer-spec ready",3,Hotel,considered
AC-New Collection,DMD Vanta.jpg,color_finish_grid,KEEP,"Crisp four-color wire-leg range, photoreal, finish options clear",3,Hotel,considered
AC-New Collection,Soft blush_peac Upholstered Accent Chair 360 return.jpg,three_quarter_angle,KEEP,"Four-view turntable grid, photoreal blush, shows full geometry",5,Hotel,considered
AC-New Collection,Soft Yellow Upholstered Accent Chair 4.jpg,three_quarter_angle,REDO,"Muddy grey backdrop, flat gradient lighting, not crisp white seamless",5,Hotel,considered
AC-New Collection,Warm Gray and taupes Upholstered Accent Chair 360 return 6.jpg,three_quarter_angle,KEEP,"Five-view swivel grid, photoreal taupe, brass base reads well",5,Hotel,considered
AC-New Collection,slot:hardware_detail,hardware_detail,MISSING,"No close-up of leg joint, base swivel, or stitching hardware",6,Hotel,considered
AC-New Collection,slot:functional_transformation,functional_transformation,MISSING,No swivel-action or stacking demonstration shot present,7,Hotel,considered
Amenity Tower,slot:white_seamless_hero,white_seamless_hero,MISSING,No photoreal front hero showing finished tower on white,1,Hotel,considered
Amenity Tower,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for tight-footprint planning,2,Hotel,considered
Amenity Tower,slot:material_swatch_row,material_swatch_row,MISSING,No HPL finish options shown for room-design matching,3,Hotel,considered
Amenity Tower,slot:full_room_scene,full_room_scene,MISSING,No in-guestroom context proving compact storage value,4,Hotel,considered
Amenity Tower,Amenity Tower.png,three_quarter_angle,REDO,"Raw CGI render, flat lighting, dark void interiors, not photoreal",5,Hotel,considered
Amenity Tower,Amenity Tower - 2.png,three_quarter_angle,REDO,"Grey 3D mockup, soft edges, no realism, compartments unclear",5,Hotel,considered
Amenity Tower,slot:hardware_detail,hardware_detail,MISSING,"No close-up of edge-banding, hanging rail, or minibar fit",6,Hotel,considered
Amenity Tower,slot:functional_transformation,functional_transformation,MISSING,"No shot of loaded compartments (luggage, coffee, hanging)",7,Hotel,considered
Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No straight-front hero shot of the chair on white,1,Hotel,standard
Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for desk-clearance planning,2,Hotel,standard
Chair,slot:full_room_scene,full_room_scene,MISSING,No guestroom-desk context shot for the chair,3,Hotel,standard
Chair,Chair-2.png,side_profile,KEEP,"Photoreal high-back task chair on white, clean, mechanism visible",4,Hotel,standard
Chair,Chair-3.png,three_quarter_angle,KEEP,"Sharp three-quarter executive chair on white, sells comfort and build",4,Hotel,standard
Chair,slot:texture_macro,texture_macro,MISSING,No leather-grain close-up to convey contract durability,5,Hotel,standard
Cold Buffet Counter,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean isolated hero of the counter unit on white,1,Hotel,considered
Cold Buffet Counter,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for buffet-line layout planning,2,Hotel,considered
Cold Buffet Counter,slot:material_swatch_row,material_swatch_row,MISSING,No wood and stone-top finish options shown,3,Hotel,considered
Cold Buffet Counter,Cold Buffet Counter.jpg,full_room_scene,KEEP,"Real photo, fully merchandised buffet in situ, sells service capacity",4,Hotel,considered
Cold Buffet Counter,slot:three_quarter_angle,three_quarter_angle,MISSING,No clean angled product view of the bare counter,5,Hotel,considered
Cold Buffet Counter,slot:hardware_detail,hardware_detail,MISSING,No close-up of cold wells or refrigeration controls,6,Hotel,considered
Cold Buffet Counter,slot:functional_transformation,functional_transformation,MISSING,No modular configuration or cold-well module shot,7,Hotel,considered
Double Drawer Night Stand,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front hero of the nightstand on white,1,Hotel,long-tail
Double Drawer Night Stand,Double Drawer Night Stand.png,three_quarter_angle,REDO,"Visible sparkle watermark bottom-right, off-brand stock artifact",2,Hotel,long-tail
Double Drawer Night Stand,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for bed-wall fit planning,3,Hotel,long-tail
Dry Storage Cabinet,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front hero of the cabinet run on white,1,Hotel,considered
Dry Storage Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for back-of-house layout planning,2,Hotel,considered
Dry Storage Cabinet,slot:material_swatch_row,material_swatch_row,MISSING,No finish and laminate options shown for brand matching,3,Hotel,considered
Dry Storage Cabinet,slot:full_room_scene,full_room_scene,MISSING,No breakfast-service-area context shot of the cabinets,4,Hotel,considered
Dry Storage Cabinet,Food Service Cabinets 1.jpg,three_quarter_angle,KEEP,"Photoreal navy cabinet wall, open shelves staged, reads spec-able",5,Hotel,considered
Dry Storage Cabinet,slot:hardware_detail,hardware_detail,MISSING,"No close-up of door slides, hinges, or shelf brackets",6,Hotel,considered
Dry Storage Cabinet,slot:functional_transformation,functional_transformation,MISSING,No open-vs-closed or loaded-shelf demonstration shot,7,Hotel,considered
Executive Desk,DMD Luma Executive Desk.jpg,white_seamless_hero,KEEP,"Sharp front hero, shows power and cable tray clearly.",1,Hotel,considered
Executive Desk,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for procurement specs.,2,Hotel,considered
Executive Desk,slot:material_swatch_row,material_swatch_row,MISSING,No finish/laminate options shown for buyer selection.,3,Hotel,considered
Executive Desk,DMD Bracket Executive Desk.jpg,single_prop_styling,REDO,"Fake glowing laptop screen, ad-agency clutter, not operator-real.",4,Hotel,considered
Executive Desk,DMD Echo Executive Desk.jpg,single_prop_styling,REDO,"Fake laptop glow, over-styled props, reads CGI not real.",4,Hotel,considered
Executive Desk,DMD Forma Executive Desk.jpg,single_prop_styling,REDO,"Fake glowing screen, dreamy prop styling, not sharp realism.",4,Hotel,considered
Executive Desk,slot:full_room_scene,full_room_scene,MISSING,No real guest-room context; only fake-prop shots.,4,Hotel,considered
Executive Desk,DMD Axis Executive Desk.jpg,three_quarter_angle,KEEP,"Clean angle, LED edge and pedestal read spec-able.",5,Hotel,considered
Executive Desk,DMD Grid Executive Desk.jpg,three_quarter_angle,KEEP,"Clean angle, keyboard tray and rear power visible.",5,Hotel,considered
Executive Desk,DMD Nexus Executive Desk.jpg,three_quarter_angle,KEEP,"Twin pedestals, task lamp, power strip read clearly.",5,Hotel,considered
Executive Desk,DMD Strata Executive Desk.jpg,three_quarter_angle,KEEP,"Sharp angle, grommets and rear power well shown.",5,Hotel,considered
Executive Desk,DMD Vault Executive Desk.jpg,three_quarter_angle,KEEP,"Clean angle, cable management ring and LED visible.",5,Hotel,considered
Executive Desk,DMD Core Executive Desk.jpg,back_view,KEEP,"Shows rear power, grommets, cable access for installers.",6,Hotel,considered
Executive Desk,DMD Modulo Executive Desk.jpg,hardware_detail,KEEP,"Ring-pull and power shelf legible, useful spec detail.",6,Hotel,considered
Executive Desk,DMD Terra Executive Desk.jpg,back_view,KEEP,Front-back hybrid showing cable runs and power for buyers.,6,Hotel,considered
Executive Desk,slot:functional_transformation,functional_transformation,MISSING,No view of keyboard tray or cable access in use.,7,Hotel,considered
Full XL Bed Frame - Metal,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean photoreal hero of the platform frame.,1,Hotel,standard
Full XL Bed Frame - Metal,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing or platform-height options.,2,Hotel,standard
Full XL Bed Frame - Metal,slot:full_room_scene,full_room_scene,MISSING,No mattress-on-frame room context for buyer.,3,Hotel,standard
Full XL Bed Frame - Metal,Bed Base Model 2.png,three_quarter_angle,REDO,"Tiny low-res CGI thumbnail, no scale, not photoreal.",4,Hotel,standard
